Kaj so bulbotalamični nevroni?|<ul class="bulleted-list" id="f95d441b-845f-47f7-9363-331e93ccd0fb"><li>Nevroni iz bulbusa → talamus</li></ul><ul class="bulleted-list" id="d0d8e5f1-d948-423f-b51b-ef25d59a5585"><li>Pridružijo se jim nevroni iz senzoričnega jedra n. trigeminusa</li></ul>
Kako drugače imenujemo nevron tretjega reda?|
Kakšne so sinapse, če gledamo vrste nevronskih mrež?|
Kakšna je razlika v proženju nevronov poti medialnega lemniska, če je stimulus manjši oziroma večji?|<ul class="bulleted-list" id="6a220645-cf79-46fe-a3b0-1f08d13373d7"><li>🔼 stimulus → vzdraženje več nevronov - vzorec je interferenten</li></ul><p class="" id="c2435024-66a1-4ff6-89bf-01cb02cac266">
</p><figure class="image" id="f8361ff6-6146-41ee-9bb4-c0bc969a0517"><a href="Taktilna%20zaznava%208656ba52842a4391ba90220c63af9589/Untitled%206.png"><img src="Taktilna%20zaznava%208656ba52842a4391ba90220c63af9589/Untitled%206.png" style="width:418px"/></a></figure>
Kako testiramo funkcijo dorzalnih kolumen?|
Kolikšna je resolucija dotika na prstnih blazinicah? Koliko pa na hrbtu?|<ul class="bulleted-list" id="07a6a250-6f27-4777-9b41-1416c4e16870"><li>30 - 70 mm na hrbtu</li></ul>
Kaj je lateralna inhibicija in kako prispeva k resoluciji taktilnih receptorjev?|<ul class="bulleted-list" id="0e308e23-5293-413a-abc7-4fa7a5e0c2b8"><li>Dogaja se na nivoju hrbtenjače, talamusa in skorje.</li></ul><ul class="toggle" id="939c388a-36b0-4d93-9c5a-ffdb80f43ea3"><li><details open=""><summary>Kako pa pride do inhibicije lateralnih sinaps?</summary><ul class="bulleted-list" id="d8fd0ad0-72ad-4273-b4ea-7242e1262be2"><li>Z inhibitornimi internevroni.</li></ul></details></li></ul><figure class="image" id="b47f308d-3b9d-4370-996a-c63c5d64cfba"><a href="Taktilna%20zaznava%208656ba52842a4391ba90220c63af9589/Untitled%207.png"><img src="Taktilna%20zaznava%208656ba52842a4391ba90220c63af9589/Untitled%207.png" style="width:428px"/></a></figure>
Kako pa pride do inhibicije lateralnih sinaps?|
Kako se stimulus prevede v moč signala? Kakšna je odvisnost med količinama?|<ul class="toggle" id="65200eb2-0456-48ab-81b4-880180e277c3"><li><details open=""><summary>Kateri zakon opisuje to povezavo?</summary><ul class="bulleted-list" id="0be9e65e-5e73-41f6-8cc2-17292e47de5d"><li>Weber-Fechnerjev zakon</li></ul></details></li></ul><ul class="toggle" id="e7e781cb-3b12-44a4-ac94-5398de0a5ce4"><li><details open=""><summary>Kako se ga zapiše s formulo?</summary><ul class="bulleted-list" id="f0a2b10d-bb4a-4849-8670-414d96cc20a9"><li>I = Klog(S/S0)</li></ul></details></li></ul><ul class="toggle" id="09615a18-3262-499f-b912-a3241cfa2578"><li><details open=""><summary>Kako se ta zakonitost pozna pri zaznavi sluha?</summary><ul class="bulleted-list" id="de9844c0-1bf4-41e7-9f99-4cd6f91c812b"><li>Če je signal šibek, se ga registrira samo na določenem delu polža.</li></ul><ul class="bulleted-list" id="4ce0cda6-4b8d-46b3-883e-e1486249ee43"><li>Če je močan, se vzdraži več dlačnic, področje vzdraženja pa se razširi na obe strani bazilarne membrane.</li></ul></details></li></ul>
Kateri zakon opisuje to povezavo?|
Kako se ga zapiše s formulo?|
Kako se ta zakonitost pozna pri zaznavi sluha?|<ul class="bulleted-list" id="4ce0cda6-4b8d-46b3-883e-e1486249ee43"><li>Če je močan, se vzdraži več dlačnic, področje vzdraženja pa se razširi na obe strani bazilarne membrane.</li></ul>
Kaj je razlika med propriocepcijo in kinestezijo?|<ul class="bulleted-list" id="20bfb373-7c40-48ad-b5b0-c0e6660de93d"><li>Kinestezija je zaznavanje sprememb kotov rotacij sklepov → gibanje.</li></ul>
Kolikšna je gradacija intenzitete dražljaja?|
Katere informacije se posredujejo po tej poti?|<ul class="bulleted-list" id="7238733f-e2ce-4731-b0be-cfcf3885693e"><li>Temperatura</li></ul><ul class="bulleted-list" id="da7f7442-547c-4c39-9650-4a6a470b0eb5"><li>Slaba lokalizacija dotika in pritiska</li></ul><ul class="bulleted-list" id="7ea38294-e30d-46ae-84ae-703117f4de1a"><li>Srbenje in žgečkanje</li></ul><ul class="bulleted-list" id="d915c629-9c89-40a5-91d7-c7e01ccbacf6"><li>Seksualni občutki</li></ul>
Kolikšna je gradacija intenzitete dražljaja?|<ul class="toggle" id="c1a3047f-4eea-424d-8284-0e495dd2d5b6"><li><details open=""><summary>Kako se to primerja s potjo medialnega lemniska?</summary><ul class="bulleted-list" id="720c0bf2-8b31-4123-ba14-061bbf1f86c2"><li>Slabše je, medialni lemnisk ima 100.</li></ul></details></li></ul>
Kako se to primerja s potjo medialnega lemniska?|
Kaj je glavna razlika med njima?|
Kako je razporejena somatosenzorična skorja?|<ul class="bulleted-list" id="1e158423-0aa5-4da4-a345-9950592071e5"><li>Spodnje ekstremitete so najvišje, s premikom proti bolj lateralnim delom so zastopni bolj superiorni deli telesa. Najnižje je jezik in žrelo.</li></ul>
Kje se nahaja sekundarna somatosenzorična skorja?|<ul class="toggle" id="26dfabef-1feb-475d-b2c7-711f2c7dbd54"><li><details open=""><summary>Od kje dobiva informacije?</summary><ul class="bulleted-list" id="58f02c93-3053-4570-b148-1bc7211505e9"><li>Iz možganskega debla</li></ul><ul class="bulleted-list" id="9f9f57d7-9ad2-4ece-96f7-d76210c85d72"><li>Iz primarne somatosenzorne skorje</li></ul><ul class="bulleted-list" id="b075f70f-0c8f-4273-88bb-416090645535"><li>Iz drugih senzoričnih predelov skorje.</li></ul></details></li></ul><figure class="image" id="be66b9cf-c192-4b05-a3ee-7caa8a2fca4d"><a href="Taktilna%20zaznava%208656ba52842a4391ba90220c63af9589/Untitled%208.png"><img src="Taktilna%20zaznava%208656ba52842a4391ba90220c63af9589/Untitled%208.png" style="width:459px"/></a></figure>
Od kje dobiva informacije?|<ul class="bulleted-list" id="9f9f57d7-9ad2-4ece-96f7-d76210c85d72"><li>Iz primarne somatosenzorne skorje</li></ul><ul class="bulleted-list" id="b075f70f-0c8f-4273-88bb-416090645535"><li>Iz drugih senzoričnih predelov skorje.</li></ul>
Katere Brodmannove cone predstavljajo primarno somatosenzorično skorjo?|<ul class="bulleted-list" id="a1a5ddee-c76c-4ea1-a143-6847603884e8"><li>1</li></ul><ul class="bulleted-list" id="745758e9-a1e2-4627-aed7-c2cdce25dda2"><li>2</li></ul>
V kateri sloj neokorteksa primarne somatosenzorične skorje pride input iz talamusa?|
V katere sloje neokorteksa primarne somatosenzorične skorje pride input iz nižjih možganskih centrov?|<ul class="bulleted-list" id="91f799aa-3d3d-412f-a5eb-773661b66e3a"><li>II → zunanja zrnata plast</li></ul><ul class="bulleted-list" id="30beaf10-6ea9-4cad-97f9-0a070cc25cae"><li>Input pride iz bazalnih ganglijev in možganskega debla</li></ul>
Iz katerih slojev neokorteksa primarne somatosenzorične skorje odide informacije v skorjo nasprotne smeri?|<ul class="bulleted-list" id="4fc18199-c574-47a6-abc8-4eae6ac97454"><li>III → zunanja piramidna plast</li></ul>
V katere anatomske strukture odide informacija iz V in VI. plasti neokorteksa primarne somatosenzorične skorje?|<ul class="bulleted-list" id="782671dc-8263-49b3-b9b0-b3221d7d0ad6"><li>VI → talamus</li></ul>
Kaj je fora, da se aferentna informacija, ki prispe v primarno somatosenzorično skorjo, posreduje nazaj v talamus?|
Zakaj se informacija iz GTO in mišičnih vreten pošlje v Brodmannovo cono 3, anteriorno izmed treh vertikalnih con?|
Kakšne so funkcije primarne somatosenzorične skorje?|<ol class="numbered-list" id="6ab45d5e-da54-4822-92d0-4f9baaa48bfa" start="2"><li>Diskriminacija intenzitete dražljaja</li></ol><ol class="numbered-list" id="1e5d7e0c-a5d9-44b1-9f14-52c7ba9c45dd" start="3"><li>Ocena teže predmetov</li></ol><ol class="numbered-list" id="f67be94d-ba1c-48fc-bf08-6b570f0d2fc4" start="4"><li>Oblika predmetov</li></ol><ol class="numbered-list" id="5f8fd8f3-ec8b-48de-8261-7fbe35cc5839" start="5"><li>Tekstura predmetov</li></ol><ol class="numbered-list" id="fa111694-7132-4320-b4bc-7865a4a2379e" start="6"><li>Diskriminacija lokalizacije in intenzivnosti bolečine ter temperature</li></ol>
Kakšna pa je funkcija somatosenzoričnega asociacijskega področja?|<ul class="bulleted-list" id="2c10a1d2-0570-4f33-af1f-85347b788ba8"><li>Brodmannova cona 5 in 7</li></ul><ul class="toggle" id="42a66cba-42a7-42e4-b18d-fb6414dd17ab"><li><details open=""><summary>Od kod zbira informacije?</summary><ul class="bulleted-list" id="3acb3d0a-4f16-40c2-9926-1e17fa71830c"><li>Vidna skorja</li></ul><ul class="bulleted-list" id="cbd2571f-eab2-4ce4-bdf2-62d9b1523faa"><li>Slušna skorja</li></ul><ul class="bulleted-list" id="52dfd602-afa1-4fde-a8fb-b388d3c3d1f0"><li>Druga področja talamusa</li></ul><ul class="bulleted-list" id="4a3ac0fc-c586-403d-92bc-dc05eebc394f"><li>Ventrobazalna jedra talamusa</li></ul><ul class="bulleted-list" id="753a875f-f17e-467b-9c9a-f48f845ad7b6"><li>Primarna somatosenzorna skorja</li></ul></details></li></ul>
Od kod zbira informacije?|<ul class="bulleted-list" id="cbd2571f-eab2-4ce4-bdf2-62d9b1523faa"><li>Slušna skorja</li></ul><ul class="bulleted-list" id="52dfd602-afa1-4fde-a8fb-b388d3c3d1f0"><li>Druga področja talamusa</li></ul><ul class="bulleted-list" id="4a3ac0fc-c586-403d-92bc-dc05eebc394f"><li>Ventrobazalna jedra talamusa</li></ul><ul class="bulleted-list" id="753a875f-f17e-467b-9c9a-f48f845ad7b6"><li>Primarna somatosenzorna skorja</li></ul>
Kaj je amorfosinteza in kdaj do nje pride?|<ul class="bulleted-list" id="055bc482-dd7d-434a-baf3-4f6b6d38b15a"><li>Ob okvari somatosenzoričnega asociacijskega področja</li></ul>
Kaj se zgodi ob izpadu somatosenzoričnega predela možganske skorje?|<ul class="bulleted-list" id="7251ca14-eba2-418f-b4e7-4b2fcb56f9c4"><li>Ker ni lateralne inhibcije na ravni skorje, je kontrast večji, natančnost manjša.</li></ul>
Kdaj se pojavi bolečina?|
Zakaj se naprimer ob dolgotrajnem sedenju podzavestno premaknemo?|
Kako lahko občutimo bolečino?|<ul class="bulleted-list" id="f3552582-2b03-4aa2-a650-c54aea8b9094"><li>Topa = pekoča = kronična bolečina<ul class="bulleted-list" id="55b675ca-645d-418e-a214-eedf635b77a3"><li>Notranji organi</li></ul><ul class="bulleted-list" id="899b277f-d218-4f92-bbe3-3c1384950967"><li>1 s zakasnitve</li></ul><ul class="bulleted-list" id="018eb511-d727-47e1-93dc-636b99e03edc"><li>Narašča</li></ul></li></ul>
Kakšne vrste receptorjev zaznavajo bolečino?|<ul class="toggle" id="1b32ed2c-dbd2-44cb-b25b-0f0971df5998"><li><details open=""><summary>Kje se nahajajo?</summary><ul class="bulleted-list" id="dc030cb4-d7a3-4f6d-83a0-ceeeb5de5074"><li>Koža</li></ul><ul class="bulleted-list" id="4c5c37de-d789-4e42-8903-9f806b246286"><li>Periost</li></ul><ul class="bulleted-list" id="edc1df21-8aff-4c40-a3db-81d6996dff23"><li>Stena arterij</li></ul><ul class="bulleted-list" id="36d241df-93fb-4dc8-8c64-d9e9a7e618ee"><li>Ovojnice sklepov</li></ul><ul class="bulleted-list" id="81cf153b-726f-4887-bcd5-ded1326a26bc"><li>Deli lobanje</li></ul><ul class="bulleted-list" id="baea3303-0a28-47c7-8ccf-cc604ee35b1c"><li>Notranji organi - redko</li></ul></details></li></ul>
Kje se nahajajo?|<ul class="bulleted-list" id="4c5c37de-d789-4e42-8903-9f806b246286"><li>Periost</li></ul><ul class="bulleted-list" id="edc1df21-8aff-4c40-a3db-81d6996dff23"><li>Stena arterij</li></ul><ul class="bulleted-list" id="36d241df-93fb-4dc8-8c64-d9e9a7e618ee"><li>Ovojnice sklepov</li></ul><ul class="bulleted-list" id="81cf153b-726f-4887-bcd5-ded1326a26bc"><li>Deli lobanje</li></ul><ul class="bulleted-list" id="baea3303-0a28-47c7-8ccf-cc604ee35b1c"><li>Notranji organi - redko</li></ul>
Katere vrste stimulusov lahko izzovejo bolečinske receptorje?|<ul class="bulleted-list" id="31483905-9558-42c8-9e31-c29e08963415"><li>Mehanski</li></ul><ul class="bulleted-list" id="c3653031-2319-4815-8675-11343be87b8d"><li>Toplotni</li></ul><ul class="toggle" id="ac61f522-2295-4132-a207-05a856823b17"><li><details open=""><summary>Kateri izmed stimulusov ne more posredovati hitre bolečine?</summary><ul class="bulleted-list" id="b469e1db-5945-4960-af59-d504219c3903"><li>Kemični.</li></ul></details></li></ul>
Kateri izmed stimulusov ne more posredovati hitre bolečine?|
Kakšna je sposobnost adaptacije nocireceptorjev?|
Kaj je hiperalgezija?|
Pri kateri temperaturi človek zazna stimulus kot boleč?|<ul class="toggle" id="2d0c625a-300c-4d1d-8de1-07b39f27100c"><li><details open=""><summary>Zakaj pri tej temperaturi?</summary><ul class="bulleted-list" id="2d3be532-f613-4d3f-808b-d61cb2fb67ab"><li>Pri tej temperaturi začne odmirat tkivo.</li></ul></details></li></ul>
Zakaj pri tej temperaturi?|
Kakšna je povezava topotnih in kemičnih nociceptorjev?|<ul class="toggle" id="c2f45629-b83b-4b5a-8a81-38a62366c3a3"><li><details open=""><summary>Bradikinin</summary><figure id="c11296ea-9065-4737-beb3-c5a5279f111e"><a class="bookmark source" href="https://www.youtube.com/watch?v=d39-IcoWHkY"><div class="bookmark-info"><div class="bookmark-text"><div class="bookmark-title">Bradykinin | Let the Drama begin!</div><div class="bookmark-description">😍🖼Animated Mnemonics (Picmonic): https://www.picmonic.com/viphookup/medicosis/ - With Picmonic, get your life back by studying less and remembering more. Med...</div></div><div class="bookmark-href"><img class="icon bookmark-icon" src="https://s.ytimg.com/yts/img/favicon-vfl8qSV2F.ico"/>https://www.youtube.com/watch?v=d39-IcoWHkY</div></div><img class="bookmark-image" src="https://i.ytimg.com/vi/d39-IcoWHkY/maxresdefault.jpg"/></a></figure><ul class="toggle" id="b620d313-92ef-4f2a-b0fc-15ce9fe7295e"><li><details open=""><summary>Iz česa nastane bradikinin in kje?</summary></details></li></ul><ul class="toggle" id="88219083-fd32-4dbc-bdc3-5e6c85835866"><li><details open=""><summary>Kaj so funkcije bradikinina?</summary><ol class="numbered-list" id="4d736df6-f025-49af-926c-87a145ec9033" start="1"><li>🔼 konktrakcijo nevaskularnih GMC</li></ol><ol class="numbered-list" id="314ab0d6-416f-4318-8468-4509f3424f69" start="2"><li>🔼 permeabilnost kapilar → 🔽 MAP, angioedem</li></ol><ol class="numbered-list" id="cbbafc89-4555-4d76-bcdd-804af4edc332" start="3"><li>🔼 natriureza → 🔽 MAP</li></ol><ol class="numbered-list" id="49ee99e5-b710-43de-bd46-f8c31af8813a" start="4"><li>bolečina</li></ol></details></li></ul></details></li></ul>
Iz česa nastane bradikinin in kje?|
Kaj so funkcije bradikinina?|<ol class="numbered-list" id="314ab0d6-416f-4318-8468-4509f3424f69" start="2"><li>🔼 permeabilnost kapilar → 🔽 MAP, angioedem</li></ol><ol class="numbered-list" id="cbbafc89-4555-4d76-bcdd-804af4edc332" start="3"><li>🔼 natriureza → 🔽 MAP</li></ol><ol class="numbered-list" id="49ee99e5-b710-43de-bd46-f8c31af8813a" start="4"><li>bolečina</li></ol>
Kateri so koraki bolečinskega procesa?|<ol class="numbered-list" id="4d1f1a5d-0131-43da-97ac-efc6ad2cab80" start="2"><li>Transformacija</li></ol><ol class="numbered-list" id="7c3ec0e2-13a1-4952-a59f-a98ec2b57291" start="3"><li>Sinaptični prenos</li></ol><ol class="numbered-list" id="5d38a67f-4af4-497b-9df3-639b4713f6af" start="4"><li>Modulacija</li></ol><ol class="numbered-list" id="2b6848c3-98e9-4d7f-b536-bfadb032a1b1" start="5"><li>Percepcija</li></ol>
Katere substance torej povečajo občutljivost nocireceptorjev?|
Zakaj čili tako "peče", mentol pa hladi?|
Kateri receptorji se aktivirajo s temperaturnimi razlikami?|
S čim je sorazmerna intenziteta dražljaja?|
S katerimi vlakni se posreduje informacija iz nociceptorjev za ostro in topo bolečino?|<ul class="bulleted-list" id="3e6ff597-5fc4-47d0-84dd-651988ec4c5a"><li>Topa → C</li></ul>
Kje poteka preklop na nevrone drugega reda za vlakna, ki posredujejo ostro in topo bolečino?|<ul class="bulleted-list" id="bedc35a3-5fcf-4f43-806c-59b5e5501c04"><li>Topo → Lamina II in III</li></ul><ul class="toggle" id="59eac502-72dc-43f6-aff7-e56da204833a"><li><details open=""><summary>Nevrotransmiterji?</summary><ul class="bulleted-list" id="f761546c-8612-4010-a79d-c651c5b8c268"><li>Glutamat → AMPA receptor</li></ul><ul class="bulleted-list" id="3ef8dde5-8452-4f37-9399-be51e8a94c8f"><li>Substanca P → NK1 receptor</li></ul><ul class="bulleted-list" id="2b40bbe5-562a-44c4-8440-42c8c2681ab9"><li>CGRP → CGRP receptor </li></ul><ul class="bulleted-list" id="8f35c368-7832-4060-8cdb-c22e67be65c3"><li>Nevrokinin A → NK2 receptor</li></ul></details></li></ul>
Nevrotransmiterji?|<ul class="bulleted-list" id="3ef8dde5-8452-4f37-9399-be51e8a94c8f"><li>Substanca P → NK1 receptor</li></ul><ul class="bulleted-list" id="2b40bbe5-562a-44c4-8440-42c8c2681ab9"><li>CGRP → CGRP receptor </li></ul><ul class="bulleted-list" id="8f35c368-7832-4060-8cdb-c22e67be65c3"><li>Nevrokinin A → NK2 receptor</li></ul>
Kaj je razlika med neospinotalamično in paleospinotalamično progo?|<ul class="bulleted-list" id="49faa5ca-70db-4730-a84e-a57db6ce0841"><li>Paleospinotalamična proga = anteriorna spinotalamična proga → topa bolečina</li></ul>
Kako se prenaša informacija po neospinotalamični poti?|<ol class="numbered-list" id="f8bf8aff-e714-4d7a-9c9b-74bd667d5640" start="2"><li>Delna terminacija v retikularni formaciji</li></ol><ol class="numbered-list" id="ccba54bc-0c50-44b0-8853-010f9d62544b" start="3"><li>Končna terminacija v ventrobazalnem kompleksu in posteriornih jedrih talamusa.</li></ol><ol class="numbered-list" id="0864a2f7-a13e-4c0d-a463-74129e9562b0" start="4"><li>Od tu gre informacija do primarne somatosenzorične skorje in ostalih delov možganov</li></ol>
Kaj doda k boljši lokalizaciji bolečine?|<ul class="bulleted-list" id="7fd87210-6f65-4238-ad1f-9e3051c69c12"><li>Stimulacija nociceptorjev za ostro bolečino in taktilnih receptorjev → dobra lokalizacija</li></ul>
Kako poteka posredovanje aferentne informacije o počasni bolečini na ravni hrbtenjače?|<ol class="numbered-list" id="1523ca98-75f7-4bd3-8330-9331ffa1b4ba" start="2"><li>Terminacija v <strong>substantia gelatinosa</strong> (lamina II in III)</li></ol><ol class="numbered-list" id="e5b40b2f-d12c-45be-96e6-5f00cb56fea7" start="3"><li>Preklop enkrat ali večkrat s kratkimi, majhnimi internevroni do lamine V.</li></ol><ol class="numbered-list" id="b84565e5-8cbe-4978-97d5-91321c04169c" start="4"><li>Decussatio preko comissura anterior → ascendiranje po paleospinotalamični poti = <strong>tractus spinothalamicus anterior</strong></li></ol>
Kakšna je razlika v delovanju glutamata in substance P kot nevrotransmiterjev?|<ul class="bulleted-list" id="6ad45563-c303-401b-9eef-ab99a9fe593f"><li>Substanca P deluje od nekaj sekund do par minut.</li></ul>
Kje terminira paleospinotalamična pot?|<ul class="toggle" id="99f93793-a705-45f9-86c5-be1f38399e7d"><li><details open=""><summary>Gre informacija tudi višje?</summary><ul class="bulleted-list" id="69639d2f-c8c5-4e22-a03a-b702c238e424"><li>Iz teh področij gre v intralaminarna jedra, ventrolateralna jedra talamusa, hipotalamus in ostali bazalni deli možganov.</li></ul></details></li></ul>
Gre informacija tudi višje?|
Kaj se zgodi, če bi odrezali vse nad mezencefalonom s stališča bolečine?|
Kakšna je razlika v aktivaciji primarne somatosenzorične skorje pri percepciji tope in ostre bolečine?|
Kateri deli CŽS ocenjujejo percepcijo bolečine in kateri kvaliteto bolečine?|<ul class="bulleted-list" id="5952ebe5-ecea-4df9-a8f5-2afef6b959c9"><li>Kvaliteta - primarna somatosenzorična skorja</li></ul>
Kaj predpostavlja teorija vrat?|<ul class="bulleted-list" id="5e837c18-ad3d-4c55-9e78-3424f8e35af9"><li>Če se po bolečem udarcu držimo za travmatizirani del, sprožimo še aferentne taktilne signale, ki inhibirajo pre- in postsinaptični nevron hitre bolečine v substanci gelatinosi.</li></ul>
Kaj je analgezija?|
Kaj je analgezijski sistem?|
Kako deluje?|<ul class="toggle" id="da7a3906-186f-4719-902e-9736d33782fe"><li><details open=""><summary>Katere regije so nadrejene parakveduktalni sivini in periventrikularnim jedrom mezencefalona?</summary><ul class="bulleted-list" id="57048f4f-59db-418f-a8f0-5802828e07a8"><li><strong>Nucleus periventricularis hipotalamusa</strong></li></ul></details></li></ul>
Katere regije so nadrejene parakveduktalni sivini in periventrikularnim jedrom mezencefalona?|
Kakšno vlogo ima enkefalin?|<ul class="bulleted-list" id="c21f2f05-ad18-4727-9cbb-4c8e1e6b711a"><li>Nevrotransmiter sinaptičnega prenosa v nucleus raphe magnus in nucleus reticularis paragigantocellularis</li></ul>
Kako sta povezana serotonin in enkefalin?|
Kaj je alodinija?|
Iz katerih molekul nastanejo vsi endogeni opiati?|
Kateri so najpomembnejši endogeni opiati?|<ul class="bulleted-list" id="566eee78-fca0-435b-89f9-cd28a87cee28"><li>Met-enkefalin</li></ul><ul class="bulleted-list" id="4bed9ee9-f0f0-4eb2-8110-7dab6cff0e52"><li>Leu-enkefalin</li></ul><ul class="bulleted-list" id="5c3c7403-d154-401e-b2dc-c0454bbe8276"><li>Dinorfin</li></ul>
Kakšna oblika stimulusa lahko stimulira močno bolečino?|<ul class="bulleted-list" id="fcdf2f04-5518-45a1-8613-2104ff733bba"><li><em>Viscera je na splošno zelo slabo oživčena z bolečinskimi vlakni.</em></li></ul>
Zakaj je bolečina perikarda, peritoneja ali plevre ostra in ne topa kot za ostalo viscero?|
Na katera načina se torej lokalizira bolečina?|<ol class="numbered-list" id="cc2967c9-ea77-4b54-be1d-9f5b474449d0" start="2"><li>Direktna pot iz parietalnega peritoneja, plevre ali perikarda, zato ker nastanejo iz somatoplevre in ne splanhnoplevre.</li></ol>
